target,year,rank,neighbour,cosine_sim
space,2025,11,physical,0.3071
space,2025,12,consumption,0.3045
space,2026,1,public,0.5076
space,2026,2,topic,0.3849
space,2026,3,explores,0.3287
space,2026,4,set,0.3287
space,2026,5,access,0.3184
space,2026,6,problem,0.3178
space,2026,7,heat,0.3029
space,2026,8,spaces,0.3012
space,2026,9,contribute,0.2971
space,2026,10,projects,0.2968
space,2026,11,means,0.291
space,2026,12,exploration,0.2892
theory,2020,1,history,0.5333
theory,2020,2,practice,0.4289
theory,2020,3,architectural,0.3826
theory,2020,4,taught,0.3478
theory,2020,5,architecture,0.3314
theory,2020,6,arts,0.3294
theory,2020,7,neighborhoods,0.3287
theory,2020,8,ethical,0.3142
theory,2020,9,sciences,0.3142
theory,2020,10,integrating,0.3106
theory,2020,11,teaches,0.3081
