target,year,rank,neighbour,cosine_sim
theory,2025,7,topic,0.3405
theory,2025,8,scholarship,0.3371
theory,2025,9,design,0.3325
theory,2025,10,integrating,0.3306
theory,2025,11,prior,0.3242
theory,2025,12,history,0.3223
theory,2026,1,architectural,0.4641
theory,2026,2,history,0.4444
theory,2026,3,integrate,0.4004
theory,2026,4,design,0.3558
theory,2026,5,book,0.3512
theory,2026,6,critical,0.3456
theory,2026,7,conference,0.3456
theory,2026,8,teaches,0.3447
theory,2026,9,ecological,0.3436
theory,2026,10,practice,0.3416
theory,2026,11,ethics,0.3321
theory,2026,12,offered,0.3316
representation,2020,1,architectural,0.4068
representation,2020,2,fabrication,0.3943
representation,2020,3,visual,0.3722
representation,2020,4,digital,0.3591
representation,2020,5,buildings,0.3322
representation,2020,6,traditional,0.3259
representation,2020,7,primary,0.321
representation,2020,8,teaches,0.317
representation,2020,9,tool,0.3154
representation,2020,10,past,0.3135
representation,2020,11,map,0.3121
representation,2020,12,media,0.3121
representation,2021,1,techniques,0.419
representation,2021,2,material,0.4004
representation,2021,3,exploration,0.3979
representation,2021,4,mapping,0.3968
representation,2021,5,driven,0.362
representation,2021,6,means,0.3595
representation,2021,7,digital,0.3559
representation,2021,8,design,0.3523
representation,2021,9,lens,0.3477
representation,2021,10,theory,0.343
representation,2021,11,section,0.3403
representation,2021,12,visual,0.3398
representation,2022,1,explores,0.4299
representation,2022,2,architectural,0.4142
representation,2022,3,fabrication,0.3767
representation,2022,4,mexico,0.3741
representation,2022,5,november,0.3664
representation,2022,6,integrating,0.3477
representation,2022,7,infrastructural,0.3467
representation,2022,8,concepts,0.34
representation,2022,9,angeles,0.3387
representation,2022,10,comfort,0.3374
representation,2022,11,production,0.3368
representation,2022,12,integrate,0.3349
representation,2023,1,digital,0.3779
representation,2023,2,indigenous,0.3662
representation,2023,3,techniques,0.3463
representation,2023,4,radical,0.3381
representation,2023,5,responsive,0.3351
representation,2023,6,experts,0.3285
representation,2023,7,collaborative,0.3269
representation,2023,8,data,0.3182
representation,2023,9,published,0.3111
representation,2023,10,tools,0.3058
representation,2023,11,advanced,0.3029
