word,year,count_year,count_other,tokens_year,tokens_other,freq_year_per1k,freq_other_per1k,G2,direction,p_label,significant
site,2022,134,739,38522,345719,3.4785,2.1376,24.004,+,p < 0.0001,True
social,2022,133,1170,38522,345719,3.4526,3.3843,0.047,+,not significant,False
society,2022,64,638,38522,345719,1.6614,1.8454,0.661,-,not significant,False
space,2022,51,487,38522,345719,1.3239,1.4087,0.181,-,not significant,False
spatial,2022,46,434,38522,345719,1.1941,1.2554,0.105,-,not significant,False
state,2022,52,547,38522,345719,1.3499,1.5822,1.251,-,not significant,False
strategies,2022,90,568,38522,345719,2.3363,1.643,8.84,+,p < 0.01,True
study,2022,43,563,38522,345719,1.1162,1.6285,6.356,-,p < 0.05,True
sustainability,2022,65,692,38522,345719,1.6873,2.0016,1.817,-,not significant,False
sustainable,2022,66,866,38522,345719,1.7133,2.5049,9.875,-,p < 0.01,True
systems,2022,109,1094,38522,345719,2.8296,3.1644,1.279,-,not significant,False
technology,2022,53,522,38522,345719,1.3758,1.5099,0.427,-,not significant,False
texas,2022,18,399,38522,345719,0.4673,1.1541,18.756,-,p < 0.0001,True
time,2022,58,508,38522,345719,1.5056,1.4694,0.031,+,not significant,False
understanding,2022,54,471,38522,345719,1.4018,1.3624,0.039,+,not significant,False
urban,2022,216,1728,38522,345719,5.6072,4.9983,2.463,+,not significant,False
water,2022,82,524,38522,345719,2.1287,1.5157,7.528,+,p < 0.01,True
work,2022,138,1604,38522,345719,3.5824,4.6396,9.141,-,p < 0.01,True
world,2022,76,596,38522,345719,1.9729,1.7239,1.185,+,not significant,False
year,2022,54,449,38522,345719,1.4018,1.2987,0.275,+,not significant,False
years,2022,52,393,38522,345719,1.3499,1.1368,1.298,+,not significant,False
address,2023,43,371,43289,340952,0.9933,1.0881,0.328,-,not significant,False
american,2023,95,501,43289,340952,2.1946,1.4694,11.717,+,p < 0.001,True
analysis,2023,66,548,43289,340952,1.5246,1.6073,0.166,-,not significant,False
approach,2023,39,416,43289,340952,0.9009,1.2201,3.568,-,not significant,False
architect,2023,68,448,43289,340952,1.5708,1.314,1.801,+,not significant,False
architects,2023,75,581,43289,340952,1.7325,1.7041,0.018,+,not significant,False
architectural,2023,139,1777,43289,340952,3.211,5.2119,34.779,-,p < 0.0001,True
architecture,2023,717,5734,43289,340952,16.5631,16.8176,0.149,-,not significant,False
art,2023,47,364,43289,340952,1.0857,1.0676,0.012,+,not significant,False
assistant,2023,67,479,43289,340952,1.5477,1.4049,0.538,+,not significant,False
associate,2023,67,440,43289,340952,1.5477,1.2905,1.837,+,not significant,False
building,2023,201,1605,43289,340952,4.6432,4.7074,0.034,-,not significant,False
buildings,2023,58,518,43289,340952,1.3398,1.5193,0.852,-,not significant,False
built,2023,92,743,43289,340952,2.1253,2.1792,0.052,-,not significant,False
carbon,2023,43,626,43289,340952,0.9933,1.836,18.21,-,p < 0.0001,True
center,2023,113,752,43289,340952,2.6104,2.2056,2.675,+,not significant,False
challenges,2023,26,520,43289,340952,0.6006,1.5251,28.788,-,p < 0.0001,True
change,2023,194,2012,43289,340952,4.4815,5.9011,14.456,-,p < 0.001,True
cities,2023,75,514,43289,340952,1.7325,1.5075,1.223,+,not significant,False
city,2023,111,948,43289,340952,2.5642,2.7805,0.666,-,not significant,False
climate,2023,356,3495,43289,340952,8.2238,10.2507,16.653,-,p < 0.0001,True
communities,2023,83,517,43289,340952,1.9173,1.5163,3.72,+,not significant,False
community,2023,118,1198,43289,340952,2.7259,3.5137,7.424,-,p < 0.01,True
conditions,2023,61,381,43289,340952,1.4091,1.1175,2.674,+,not significant,False
construction,2023,87,629,43289,340952,2.0097,1.8448,0.548,+,not significant,False
context,2023,56,432,43289,340952,1.2936,1.267,0.021,+,not significant,False
critical,2023,63,592,43289,340952,1.4553,1.7363,1.861,-,not significant,False
cultural,2023,82,610,43289,340952,1.8942,1.7891,0.232,+,not significant,False
current,2023,39,359,43289,340952,0.9009,1.0529,0.892,-,not significant,False
data,2023,70,386,43289,340952,1.617,1.1321,6.93,+,p < 0.01,True
design,2023,719,6096,43289,340952,16.6093,17.8793,3.56,-,not significant,False
develop,2023,61,618,43289,340952,1.4091,1.8126,3.771,-,not significant,False
development,2023,219,1775,43289,340952,5.059,5.206,0.161,-,not significant,False
ecological,2023,61,561,43289,340952,1.4091,1.6454,1.378,-,not significant,False
economic,2023,51,390,43289,340952,1.1781,1.1439,0.039,+,not significant,False
energy,2023,125,1069,43289,340952,2.8876,3.1353,0.775,-,not significant,False
environment,2023,142,1004,43289,340952,3.2803,2.9447,1.41,+,not significant,False
environmental,2023,231,1905,43289,340952,5.3362,5.5873,0.441,-,not significant,False
experience,2023,58,490,43289,340952,1.3398,1.4372,0.26,-,not significant,False
future,2023,111,753,43289,340952,2.5642,2.2085,2.078,+,not significant,False
global,2023,101,660,43289,340952,2.3332,1.9358,2.917,+,not significant,False
health,2023,56,399,43289,340952,1.2936,1.1703,0.481,+,not significant,False
history,2023,83,539,43289,340952,1.9173,1.5809,2.555,+,not significant,False
housing,2023,39,498,43289,340952,0.9009,1.4606,9.707,-,p < 0.01,True
human,2023,80,552,43289,340952,1.848,1.619,1.184,+,not significant,False
impact,2023,72,484,43289,340952,1.6632,1.4196,1.513,+,not significant,False
include,2023,56,368,43289,340952,1.2936,1.0793,1.525,+,not significant,False
including,2023,77,538,43289,340952,1.7787,1.5779,0.938,+,not significant,False
infrastructure,2023,67,668,43289,340952,1.5477,1.9592,3.61,-,not significant,False
issues,2023,45,526,43289,340952,1.0395,1.5427,7.225,-,p < 0.01,True
